"","Condition","Epoch","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Both","P_Avg_Both"
"38","B","E1","P38","S",57343,"R","L",27,"F",22,NA,"Collegiate",4,67,41,31,0.72826087,0.445652174,0.336956522,NA,32,1.17688690246223,0.98203697926269
"39","B","E1","P39","S",58879,"R","R",26,"M",22,NA,"Professional Germany",4,70,41,33,0.760869565,0.445652174,0.358695652,NA,32,0.967497977733803,1.05121677994475
"40","B","E1","P40","S",60415,"R","R",27,"M",23,NA,"Club College",1.5,65,41,25,0.706521739,0.445652174,0.27173913,NA,32,1.14714561428998,1.25348451903462
"41","B","E2","P01","LS",50,"R","R",34,"M",0,NA,NA,0,47,49,24,0.51,0.53,0.26,NA,32,-0.156007677572041,-0.13719096847503
"42","B","E2","P02","LS",1586,"R","R",26,"M",3,13,NA,0,61,48,35,0.66,0.52,0.38,NA,32,-0.814587930471229,-0.657832432988411
"43","B","E2","P03","LS",3122,"R","R",24,"M",1,NA,NA,0,64,47,35,0.7,0.51,0.38,NA,32,-0.389787589018579,-0.575916282859245
"44","B","E2","P04","S",4806,"R","R",33,"M",29,NA,"College",3.5,54,45,26,0.59,0.49,0.28,NA,32,-0.352748419888574,-0.434596173040102
"45","B","E2","P05","S",6342,"R","R",52,"M",48,NA,"Semi-Pro",3,66,47,37,0.72,0.51,0.4,NA,32,-0.0232392076386693,0.0101742978963868
"46","B","E2","P06","S",7878,"R","R",50,"M",42,NA,"Unknown",1,60,42,28,0.65,0.46,0.3,NA,32,-0.361198610239254,-0.254830342543254
"47","B","E2","P07","LS",9536,"R","R",27,"M",0,NA,NA,0.04,62,54,38,0.67,0.59,0.41,NA,32,-0.134128598348124,-0.13397904944262
"48","B","E2","P08","LS",11072,"R","R",26,"F",0,NA,NA,0,46,48,22,0.5,0.52,0.24,NA,32,-0.569927674002954,-0.64722934299001
"49","B","E2","P09","S",12486,"R","R",38,"M",30,NA,"College",2,70,39,31,0.76,0.42,0.34,NA,32,-0.518689523164833,-0.429964276809238
"50","B","E2","P10","S",14022,"R","R",27,"F",21,22,"College",0,53,45,30,0.58,0.49,0.33,NA,32,-0.32980265737277,-0.322456304055297
"51","B","E2","P11","S",15558,"R","R",28,"M",23,NA,"Club College",1.5,62,48,33,0.67,0.52,0.36,NA,32,-0.580915423845822,-0.56780068181349
"52","B","E2","P12","LS",17216,"R","R",26,"M",1,6,NA,0,58,43,31,0.63,0.47,0.34,NA,32,-0.57635289601539,-0.574261823845628
"53","B","E2","P13","S",18630,"R","L",22,"F",16,NA,"College",3,69,53,36,0.75,0.58,0.39,NA,32,-0.353331958846937,-0.426404565848058
"54","B","E2","P14","S",20166,"R","R",27,"F",10,26,"College",0,54,49,29,0.59,0.53,0.32,"Pandemic",32,-0.228499924242388,-0.260011147039782
"55","B","E2","P15","S",21702,"L","R",27,"F",21,NA,"High School",3,53,45,24,0.58,0.49,0.26,NA,32,-0.398830678080321,-0.473506794039497
"56","B","E2","P16","S",23238,"R","R",18,"F",10,17,"High School",0,57,43,30,0.62,0.47,0.33,NA,32,-0.63605424397345,-0.599771020869899
"57","B","E2","P17","S",24774,"R","R",26,"M",10,NA,"College",1,65,51,40,0.71,0.55,0.43,NA,32,-0.389372170582905,-0.301699882710957
"58","B","E2","P18","LS",26432,"R","R",26,"F",3,11,NA,0,58,41,20,0.63,0.45,0.22,NA,32,-0.547018433212161,-0.801621479640817
"59","B","E2","P19","LS",27968,"R","R",31,"M",2,10,NA,0,68,45,31,0.74,0.49,0.34,NA,32,-0.0787443979474471,-0.0767056469274809
"60","B","E2","P20","S",29382,"R","R",33,"M",28,NA,"College",1.5,58,37,28,0.63,0.4,0.3,NA,32,-0.511537016823884,-0.493630821903119
"61","B","E2","P21","LS",31040,"R","R",29,"M",1.5,11,NA,0,63,51,34,0.68,0.55,0.37,NA,32,-0.257865963735752,-0.292561721771401
"62","B","E2","P22","LS",32576,"R","R",24,"M",0,NA,NA,0,61,49,31,0.66,0.53,0.34,NA,32,-0.453128716310088,-0.466113071769662
"63","B","E2","P23","LS",34112,"L","R",33,"M",3,9,NA,0,48,45,27,0.52173913,0.489130435,0.293478261,NA,32,-0.598308678243333,-0.309438913748046
"64","B","E2","P24","S",35526,"R","R",35,"M",30,NA,"Semi-Pro",3,21,21,10,0.512195122,0.512195122,0.243902439,NA,32,-0.792283346832754,-0.758739245242103
"65","B","E2","P25","LS",37184,"R","R",23,"F",2,NA,NA,0,55,47,31,0.597826087,0.510869565,0.336956522,NA,32,-0.363912830168718,-0.533984152632734
"66","B","E2","P26","LS",38720,"R","R",34,"F",0,NA,NA,0,49,49,24,0.532608696,0.532608696,0.260869565,NA,32,-0.366199451527153,-0.364210851659913
"67","B","E2","P27","LS",40256,"R","R",42,"M",0,NA,NA,0,55,49,28,0.597826087,0.532608696,0.304347826,NA,32,-0.0382656070282528,-0.205808041409977
"68","B","E2","P28","LS",41792,"R","R",26,"F",0,NA,NA,0,45,52,25,0.494505495,0.571428571,0.274725275,NA,32,-0.382453287554936,-0.49943316882993
"69","B","E2","P29","S",43206,"L","L",25,"F",16,18,"College",0,65,49,33,0.706521739,0.532608696,0.358695652,NA,32,-0.342855898299655,-0.438056093261221
"70","B","E2","P30","S",44742,"R","R",31,"M",27,NA,"Premier League",1,65,57,40,0.706521739,0.619565217,0.434782609,NA,32,-0.3764001304435,-0.449785716178063
"71","B","E2","P31","S",46278,"R","R",29,"M",25,NA,"Premier League",4,58,42,27,0.630434783,0.456521739,0.293478261,NA,32,-0.350413240739596,-0.338972063515096
"72","B","E2","P32","LS",47936,"R","R",25,"M",3,12,NA,0,55,49,27,0.597826087,0.532608696,0.293478261,NA,32,-0.0577135332949163,0.0372510709783996
"73","B","E2","P33","LS",49472,"R","R",21,"F",0,NA,NA,0,48,51,26,0.52173913,0.554347826,0.282608696,NA,32,-0.141613737676529,-0.191417968589635
"74","B","E2","P34","LS",51008,"R","R",32,"M",1,NA,NA,0.09,60,41,30,0.652173913,0.445652174,0.326086957,NA,32,-0.232225969139754,-0.32541867890938
"75","B","E2","P35","S",52422,"R","L",20,"M",16,18,NA,1,59,48,29,0.641304348,0.52173913,0.315217391,NA,32,-0.30633680187269,-0.386470089616394
