"","Condition","Epoch","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Both","P_Avg_Both"
"38","B","E1","P38","S",57075,"R","L",27,"F",22,NA,"Collegiate",4,67,41,31,0.72826087,0.445652174,0.336956522,NA,13,0.978203984857121,0.750905939621134
"39","B","E1","P39","S",58611,"R","R",26,"M",22,NA,"Professional Germany",4,70,41,33,0.760869565,0.445652174,0.358695652,NA,13,0.668477958607741,0.905145701166074
"40","B","E1","P40","S",60147,"R","R",27,"M",23,NA,"Club College",1.5,65,41,25,0.706521739,0.445652174,0.27173913,NA,13,0.980922062346388,1.10460844873129
"41","B","E2","P01","LS",255,"R","R",34,"M",0,NA,NA,0,47,49,24,0.51,0.53,0.26,NA,13,-0.028837293463138,-0.102892773037183
"42","B","E2","P02","LS",1791,"R","R",26,"M",3,13,NA,0,61,48,35,0.66,0.52,0.38,NA,13,-0.707143077556146,-0.565658085956173
"43","B","E2","P03","LS",3327,"R","R",24,"M",1,NA,NA,0,64,47,35,0.7,0.51,0.38,NA,13,-0.413877744371036,-0.616295354363527
"44","B","E2","P04","S",4890,"R","R",33,"M",29,NA,"College",3.5,54,45,26,0.59,0.49,0.28,NA,13,-0.475013979022393,-0.690743304622008
"45","B","E2","P05","S",6426,"R","R",52,"M",48,NA,"Semi-Pro",3,66,47,37,0.72,0.51,0.4,NA,13,-0.201241788906247,-0.206628109910395
"46","B","E2","P06","S",7962,"R","R",50,"M",42,NA,"Unknown",1,60,42,28,0.65,0.46,0.3,NA,13,-0.138503388526975,-0.165463558951324
"47","B","E2","P07","LS",9498,"R","R",27,"M",0,NA,NA,0.04,62,54,38,0.67,0.59,0.41,NA,13,-0.0472570052090866,-0.095348292512408
"48","B","E2","P08","LS",11034,"R","R",26,"F",0,NA,NA,0,46,48,22,0.5,0.52,0.24,NA,13,-0.612718753051817,-0.656669405517904
"49","B","E2","P09","S",12570,"R","R",38,"M",30,NA,"College",2,70,39,31,0.76,0.42,0.34,NA,13,-0.458577163975121,-0.444188965511067
"50","B","E2","P10","S",14106,"R","R",27,"F",21,22,"College",0,53,45,30,0.58,0.49,0.33,NA,13,-0.387523465513273,-0.466890962165848
"51","B","E2","P11","S",15642,"R","R",28,"M",23,NA,"Club College",1.5,62,48,33,0.67,0.52,0.36,NA,13,-0.682986277678379,-0.64663892137639
"52","B","E2","P12","LS",17178,"R","R",26,"M",1,6,NA,0,58,43,31,0.63,0.47,0.34,NA,13,-0.722644941577067,-0.885476006491485
"53","B","E2","P13","S",18714,"R","L",22,"F",16,NA,"College",3,69,53,36,0.75,0.58,0.39,NA,13,-0.368598444913117,-0.444360414143612
"54","B","E2","P14","S",20250,"R","R",27,"F",10,26,"College",0,54,49,29,0.59,0.53,0.32,"Pandemic",13,-0.0599895265751766,-0.070375559798018
"55","B","E2","P15","S",21786,"L","R",27,"F",21,NA,"High School",3,53,45,24,0.58,0.49,0.26,NA,13,-0.37952810219733,-0.550244591535269
"56","B","E2","P16","S",23322,"R","R",18,"F",10,17,"High School",0,57,43,30,0.62,0.47,0.33,NA,13,-0.614171326135267,-0.508005158412387
"57","B","E2","P17","S",24858,"R","R",26,"M",10,NA,"College",1,65,51,40,0.71,0.55,0.43,NA,13,-0.441333316824456,-0.31214042798806
"58","B","E2","P18","LS",26394,"R","R",26,"F",3,11,NA,0,58,41,20,0.63,0.45,0.22,NA,13,-0.60647088746374,-0.74643795695771
"59","B","E2","P19","LS",27930,"R","R",31,"M",2,10,NA,0,68,45,31,0.74,0.49,0.34,NA,13,-0.185015113910355,-0.31656942734414
"60","B","E2","P20","S",29466,"R","R",33,"M",28,NA,"College",1.5,58,37,28,0.63,0.4,0.3,NA,13,-0.513630101920505,-0.639446602725813
"61","B","E2","P21","LS",31002,"R","R",29,"M",1.5,11,NA,0,63,51,34,0.68,0.55,0.37,NA,13,-0.0904538634330523,-0.253553432368921
"62","B","E2","P22","LS",32538,"R","R",24,"M",0,NA,NA,0,61,49,31,0.66,0.53,0.34,NA,13,-0.482407629371363,-0.617297264499318
"63","B","E2","P23","LS",34074,"L","R",33,"M",3,9,NA,0,48,45,27,0.52173913,0.489130435,0.293478261,NA,13,-0.710451087025104,-0.444838715566544
"64","B","E2","P24","S",35610,"R","R",35,"M",30,NA,"Semi-Pro",3,21,21,10,0.512195122,0.512195122,0.243902439,NA,13,-0.712535232770852,-0.62432051218568
"65","B","E2","P25","LS",37146,"R","R",23,"F",2,NA,NA,0,55,47,31,0.597826087,0.510869565,0.336956522,NA,13,-0.316221305581011,-0.496645378670655
"66","B","E2","P26","LS",38682,"R","R",34,"F",0,NA,NA,0,49,49,24,0.532608696,0.532608696,0.260869565,NA,13,-0.430669394328017,-0.468767148778567
"67","B","E2","P27","LS",40218,"R","R",42,"M",0,NA,NA,0,55,49,28,0.597826087,0.532608696,0.304347826,NA,13,-0.528937966601873,-0.69204315938622
"68","B","E2","P28","LS",41754,"R","R",26,"F",0,NA,NA,0,45,52,25,0.494505495,0.571428571,0.274725275,NA,13,-0.233036592673181,-0.232602637056093
"69","B","E2","P29","S",43290,"L","L",25,"F",16,18,"College",0,65,49,33,0.706521739,0.532608696,0.358695652,NA,13,-0.294609364074769,-0.583311130908096
"70","B","E2","P30","S",44826,"R","R",31,"M",27,NA,"Premier League",1,65,57,40,0.706521739,0.619565217,0.434782609,NA,13,-0.296636452409734,-0.34056800838723
"71","B","E2","P31","S",46362,"R","R",29,"M",25,NA,"Premier League",4,58,42,27,0.630434783,0.456521739,0.293478261,NA,13,-0.507824664340352,-0.618578207528731
