"","Condition","Epoch","Hemisphere","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Hem","CP_Avg_Single","CP_Avg_Single_Med","P_Avg_Hem","P_Avg_Single","P_Avg_Single_Med"
"26","B","E1","Left","P26","LS",77531,"R","R",34,"F",0,NA,NA,0,49,49,24,0.532608696,0.532608696,0.260869565,NA,30,-0.241383557176882,-0.154567995377146,-0.328199118976618,-0.283050363285901,-0.208722486700608,-0.357378239871194
"27","B","E1","Left","P27","LS",80524,"R","R",42,"M",0,NA,NA,0,55,49,28,0.597826087,0.532608696,0.304347826,NA,30,0.00405343233196958,0.295987212994308,-0.287880348330369,-0.0199824416797287,0.0543039065949159,-0.0942687899543734
"28","B","E1","Left","P28","LS",83274,"R","R",26,"F",0,NA,NA,0,45,52,25,0.494505495,0.571428571,0.274725275,NA,30,-1.11608404812552,-1.17208677563727,-1.06008132061376,-1.14279100529284,-1.3871825874612,-0.898399423124483
"29","B","E1","Left","P29","S",86757,"L","L",25,"F",16,18,"College",0,65,49,33,0.706521739,0.532608696,0.358695652,NA,30,-0.211768662611775,-0.199136842209077,-0.224400483014473,-0.223386580173955,-0.224278910628611,-0.222494249719299
"30","B","E1","Left","P30","S",89507,"R","R",31,"M",27,NA,"Premier League",1,65,57,40,0.706521739,0.619565217,0.434782609,NA,30,-0.204131164040144,-0.383599412369376,-0.0246629157109123,-0.445576573962163,-0.414234479559183,-0.476918668365144
"31","B","E1","Left","P31","S",92988,"R","R",29,"M",25,NA,"Premier League",4,58,42,27,0.630434783,0.456521739,0.293478261,NA,30,-0.269273262479046,-0.129569347805903,-0.408977177152189,-0.208907421215176,0.0567545253099773,-0.474569367740329
"32","B","E1","Left","P32","LS",96211,"R","R",25,"M",3,12,NA,0,55,49,27,0.597826087,0.532608696,0.293478261,NA,30,0.106155597688055,0.157419073896578,0.0548921214795315,0.194938059322201,0.214778802146421,0.17509731649798
"33","B","E1","Left","P33","LS",98609,"R","R",21,"F",0,NA,NA,0,48,51,26,0.52173913,0.554347826,0.282608696,NA,30,0.166850698182419,0.353286274767377,-0.0195848784025393,0.30465687890306,0.331751112065422,0.277562645740698
"34","B","E1","Left","P34","LS",101846,"R","R",32,"M",1,NA,NA,0.09,60,41,30,0.652173913,0.445652174,0.326086957,NA,30,-0.134304389310347,-0.00864429055598265,-0.259964488064711,0.0091673200046307,0.0718352371913304,-0.0535005971820689
"35","B","E1","Left","P35","S",104842,"R","L",20,"M",16,18,NA,1,59,48,29,0.641304348,0.52173913,0.315217391,NA,30,-0.19679987870377,-0.184422645885737,-0.209177111521803,-0.157266730713272,-0.0533378509591133,-0.261195610467431
