"","Condition","Epoch","Hemisphere","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Hem","CP_Avg_Single","CP_Avg_Single_Med","P_Avg_Hem","P_Avg_Single","P_Avg_Single_Med"
"26","B","E1","Left","P26","LS",77254,"R","R",34,"F",0,NA,NA,0,49,49,24,0.532608696,0.532608696,0.260869565,NA,13,-0.294483501412368,-0.268377596330978,-0.320589406493758,-0.3554103276847,-0.30648248075228,-0.40433817461712
"27","B","E1","Left","P27","LS",80247,"R","R",42,"M",0,NA,NA,0,55,49,28,0.597826087,0.532608696,0.304347826,NA,13,-0.284366440732372,-0.190734137202561,-0.377998744262182,-0.364497836442037,-0.322280075614057,-0.406715597270016
"28","B","E1","Left","P28","LS",83240,"R","R",26,"F",0,NA,NA,0,45,52,25,0.494505495,0.571428571,0.274725275,NA,13,-1.04443267429879,-1.0472389338828,-1.04162641471478,-0.906574723153815,-1.04214822784239,-0.771001218465234
"29","B","E1","Left","P29","S",86844,"L","L",25,"F",16,18,"College",0,65,49,33,0.706521739,0.532608696,0.358695652,NA,13,-0.0364285386256742,-0.0541843394143911,-0.0186727378369572,-0.318373874391668,-0.337503395051802,-0.299244353731533
"30","B","E1","Left","P30","S",89837,"R","R",31,"M",27,NA,"Premier League",1,65,57,40,0.706521739,0.619565217,0.434782609,NA,13,-0.0808501727844504,-0.167299622426646,0.00559927685774447,-0.29590328057743,-0.26279848025266,-0.3290080809022
"31","B","E1","Left","P31","S",92831,"R","R",29,"M",25,NA,"Premier League",4,58,42,27,0.630434783,0.456521739,0.293478261,NA,13,-0.41941691588874,-0.318948212919493,-0.519885618857988,-0.444236878467835,-0.332386281835826,-0.556087475099845
"32","B","E1","Left","P32","LS",95826,"R","R",25,"M",3,12,NA,0,55,49,27,0.597826087,0.532608696,0.293478261,NA,13,0.0490833044519234,0.0938371107897523,0.00432949811409459,0.191370488922896,0.187928376453729,0.194812601392063
"33","B","E1","Left","P33","LS",98575,"R","R",21,"F",0,NA,NA,0,48,51,26,0.52173913,0.554347826,0.282608696,NA,13,0.0529312880368459,0.154121567973531,-0.0482589918998387,0.164934602855411,0.0308496243016775,0.299019581409145
"34","B","E1","Left","P34","LS",101569,"R","R",32,"M",1,NA,NA,0.09,60,41,30,0.652173913,0.445652174,0.326086957,NA,13,-0.348194418197105,-0.227295355787309,-0.4690934806069,-0.160457224113013,-0.15353267648599,-0.167381771740036
"35","B","E1","Left","P35","S",105172,"R","L",20,"M",16,18,NA,1,59,48,29,0.641304348,0.52173913,0.315217391,NA,13,-0.245765673039474,-0.28786146519889,-0.203669880880058,-0.187168865109791,-0.121308911166455,-0.253028819053126
