subID,Condition,Skill,Handedness,Footedness,Age,Gender,Soccer_Time,Age_Last_Comp,Highest_Level,Currently_Play,Direction,Height,Total,Direction_Perc,Height_Perc,Total_Perc,Misc
P24,N,S,R,R,35,M,30,,Semi-Pro,3,31,27,14,0.563636364,0.490909091,0.254545455,
P25,N,LS,R,R,23,F,2,,,0,49,51,32,0.532608696,0.554347826,0.347826087,
P25,B,LS,R,R,23,F,2,,,0,55,47,31,0.597826087,0.510869565,0.336956522,
P25,O,LS,R,R,23,F,2,,,0,45,48,22,0.5,0.533333333,0.244444444,
P26,N,LS,R,R,34,F,0,,,0,52,47,26,0.565217391,0.510869565,0.282608696,
P26,B,LS,R,R,34,F,0,,,0,49,49,24,0.532608696,0.532608696,0.260869565,
P26,O,LS,R,R,34,F,0,,,0,51,38,18,0.566666667,0.422222222,0.2,
P27,N,LS,R,R,42,M,0,,,0,47,42,25,0.510869565,0.456521739,0.27173913,
P27,B,LS,R,R,42,M,0,,,0,55,49,28,0.597826087,0.532608696,0.304347826,
P27,O,LS,R,R,42,M,0,,,0,39,39,22,0.433333333,0.433333333,0.244444444,
P28,N,LS,R,R,26,F,0,,,0,45,45,24,0.5,0.5,0.266666667,
P28,B,LS,R,R,26,F,0,,,0,45,52,25,0.494505495,0.571428571,0.274725275,
P28,O,LS,R,R,26,F,0,,,0,41,38,21,0.465909091,0.431818182,0.238636364,
P29,O,S,L,L,25,F,16,18,College,0,49,42,23,0.544444444,0.466666667,0.255555556,
P29,B,S,L,L,25,F,16,18,College,0,65,49,33,0.706521739,0.532608696,0.358695652,
P29,N,S,L,L,25,F,16,18,College,0,63,47,34,0.684782609,0.510869565,0.369565217,
P30,O,S,R,R,31,M,27,,Premier League,1,54,42,26,0.6,0.466666667,0.288888889,
P30,B,S,R,R,31,M,27,,Premier League,1,65,57,40,0.706521739,0.619565217,0.434782609,
P30,N,S,R,R,31,M,27,,Premier League,1,71,50,38,0.77173913,0.543478261,0.413043478,
P31,O,S,R,R,29,M,25,,Premier League,4,50,52,32,0.555555556,0.577777778,0.355555556,
P31,B,S,R,R,29,M,25,,Premier League,4,58,42,27,0.630434783,0.456521739,0.293478261,
P31,N,S,R,R,29,M,25,,Premier League,4,60,55,37,0.652173913,0.597826087,0.402173913,
P32,N,LS,R,R,25,M,3,12,,0,64,50,34,0.695652174,0.543478261,0.369565217,
P32,B,LS,R,R,25,M,3,12,,0,55,49,27,0.597826087,0.532608696,0.293478261,
P32,O,LS,R,R,25,M,3,12,,0,56,42,26,0.622222222,0.466666667,0.288888889,
P33,N,LS,R,R,21,F,0,,,0,55,43,28,0.597826087,0.467391304,0.304347826,
P33,B,LS,R,R,21,F,0,,,0,48,51,26,0.52173913,0.554347826,0.282608696,
P33,O,LS,R,R,21,F,0,,,0,40,38,21,0.444444444,0.422222222,0.233333333,
P34,N,LS,R,R,32,M,1,,,0.09,58,51,34,0.630434783,0.554347826,0.369565217,
P34,B,LS,R,R,32,M,1,,,0.09,60,41,30,0.652173913,0.445652174,0.326086957,
P34,O,LS,R,R,32,M,1,,,0.09,47,41,21,0.522222222,0.455555556,0.233333333,
P35,O,S,R,L,20,M,16,18,,1,47,48,23,0.522222222,0.533333333,0.255555556,
P35,B,S,R,L,20,M,16,18,,1,59,48,29,0.641304348,0.52173913,0.315217391,
P35,N,S,R,L,20,M,16,18,,1,73,47,38,0.793478261,0.510869565,0.413043478,
P36,N,LS,R,L,26,F,0,,,0,54,44,27,0.586956522,0.47826087,0.293478261,
P36,B,LS,R,L,26,F,0,,,0,50,52,25,0.543478261,0.565217391,0.27173913,
P36,O,LS,R,L,26,F,0,,,0,58,45,32,0.644444444,0.5,0.355555556,
P37,N,S,R,L,25,M,20,24,College Club,1,75,46,40,0.815217391,0.5,0.434782609,
P37,B,S,R,L,25,M,20,24,College Club,1,75,50,42,0.815217391,0.543478261,0.456521739,
P37,O,S,R,L,25,M,20,24,College Club,1,56,45,27,0.622222222,0.5,0.3,
P38,N,S,R,L,27,F,22,,Collegiate,4,69,47,34,0.75,0.510869565,0.369565217,
P38,B,S,R,L,27,F,22,,Collegiate,4,67,41,31,0.72826087,0.445652174,0.336956522,
P38,O,S,R,L,27,F,22,,Collegiate,4,50,49,28,0.555555556,0.544444444,0.311111111,
P39,N,S,R,R,26,M,22,,Professional Germany,4,65,42,34,0.706521739,0.456521739,0.369565217,
P39,B,S,R,R,26,M,22,,Professional Germany,4,70,41,33,0.760869565,0.445652174,0.358695652,
P39,O,S,R,R,26,M,22,,Professional Germany,4,55,50,32,0.611111111,0.555555556,0.355555556,
P40,N,S,R,R,27,M,23,,Club College,1.5,64,49,34,0.695652174,0.532608696,0.369565217,
P40,B,S,R,R,27,M,23,,Club College,1.5,65,41,25,0.706521739,0.445652174,0.27173913,
P40,O,S,R,R,27,M,23,,Club College,1.5,47,37,17,0.522222222,0.411111111,0.188888889,
