"","Condition","Epoch","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Both_r","P_Avg_Both_r"
"38","B","E1","P38","S",57075,"R","L",27,"F",22,NA,"Collegiate",4,67,41,31,0.72826087,0.445652174,0.336956522,NA,13,0.198682917605114,0.231131039641556
"39","B","E1","P39","S",58611,"R","R",26,"M",22,NA,"Professional Germany",4,70,41,33,0.760869565,0.445652174,0.358695652,NA,13,0.299020019126062,0.146071078778678
"40","B","E1","P40","S",60147,"R","R",27,"M",23,NA,"Club College",1.5,65,41,25,0.706521739,0.445652174,0.27173913,NA,13,0.166223551943589,0.148876070303326
"41","B","E2","P01","LS",255,"R","R",34,"M",0,NA,NA,0,47,49,24,0.51,0.53,0.26,NA,13,-0.127170384108903,-0.034298195437847
"42","B","E2","P02","LS",1791,"R","R",26,"M",3,13,NA,0,61,48,35,0.66,0.52,0.38,NA,13,-0.107444852915083,-0.0921743470322383
"43","B","E2","P03","LS",3327,"R","R",24,"M",1,NA,NA,0,64,47,35,0.7,0.51,0.38,NA,13,0.0240901553524566,0.0403790715042817
"44","B","E2","P04","S",4890,"R","R",33,"M",29,NA,"College",3.5,54,45,26,0.59,0.49,0.28,NA,13,0.122265559133819,0.256147131581906
"45","B","E2","P05","S",6426,"R","R",52,"M",48,NA,"Semi-Pro",3,66,47,37,0.72,0.51,0.4,NA,13,0.178002581267577,0.216802407806782
"46","B","E2","P06","S",7962,"R","R",50,"M",42,NA,"Unknown",1,60,42,28,0.65,0.46,0.3,NA,13,-0.222695221712279,-0.08936678359193
"47","B","E2","P07","LS",9498,"R","R",27,"M",0,NA,NA,0.04,62,54,38,0.67,0.59,0.41,NA,13,-0.0868715931390372,-0.0386307569302121
"48","B","E2","P08","LS",11034,"R","R",26,"F",0,NA,NA,0,46,48,22,0.5,0.52,0.24,NA,13,0.0427910790488628,0.0094400625278942
"49","B","E2","P09","S",12570,"R","R",38,"M",30,NA,"College",2,70,39,31,0.76,0.42,0.34,NA,13,-0.0601123591897123,0.0142246887018293
"50","B","E2","P10","S",14106,"R","R",27,"F",21,22,"College",0,53,45,30,0.58,0.49,0.33,NA,13,0.0577208081405032,0.144434658110551
"51","B","E2","P11","S",15642,"R","R",28,"M",23,NA,"Club College",1.5,62,48,33,0.67,0.52,0.36,NA,13,0.102070853832557,0.0788382395629007
"52","B","E2","P12","LS",17178,"R","R",26,"M",1,6,NA,0,58,43,31,0.63,0.47,0.34,NA,13,0.146292045561677,0.311214182645857
