"","Condition","Epoch","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Both_r","P_Avg_Both_r"
"165","O","E1","P05","S",7342,"R","R",52,"M",48,NA,"Semi-Pro",3,49,47,31,0.54,0.52,0.34,NA,13,0.156190721529342,0.173527105773603
"166","O","E1","P06","S",8878,"R","R",50,"M",42,NA,"Unknown",1,51,43,23,0.57,0.48,0.26,NA,13,-0.21906639341451,-0.10710236881654
"167","O","E1","P07","LS",10482,"R","R",27,"M",0,NA,NA,0.04,54,45,28,0.6,0.5,0.31,NA,13,-0.0475676518578277,-0.0827375287994656
"168","O","E1","P08","LS",12018,"R","R",26,"F",0,NA,NA,0,43,45,24,0.48,0.5,0.27,NA,13,0.017549914318889,0.0047112203299981
"169","O","E1","P09","S",13486,"R","R",38,"M",30,NA,"College",2,63,44,31,0.7,0.49,0.34,NA,13,-0.056727997752315,-0.0576890969197603
"170","O","E1","P10","S",15022,"R","R",27,"F",21,22,"College",0,49,36,20,0.54,0.4,0.22,NA,13,-0.0323770507547432,-0.0743423678015136
"171","O","E1","P11","S",16558,"R","R",28,"M",23,NA,"Club College",1.5,49,49,30,0.54,0.54,0.33,NA,13,0.0812667153478918,0.0232849897333333
"172","O","E1","P12","LS",18162,"R","R",26,"M",1,6,NA,0,53,41,23,0.59,0.46,0.26,NA,13,0.135579203694194,0.26721362221672
"173","O","E1","P13","S",19630,"R","L",22,"F",16,NA,"College",3,46,43,22,0.51,0.48,0.24,NA,13,0.0388071017030538,-0.0317208054613961
"174","O","E1","P14","S",21166,"R","R",27,"F",10,26,"College",0,54,45,32,0.6,0.5,0.36,NA,13,-0.160147863030101,-0.247009979855187
"175","O","E1","P15","S",22702,"L","R",27,"F",21,NA,"High School",3,56,37,25,0.62,0.41,0.28,NA,13,-0.0698990174816574,0.0119166735058224
"176","O","E1","P16","S",24238,"R","R",18,"F",10,17,"High School",0,50,37,18,0.56,0.41,0.2,NA,13,-0.0491487852706461,-0.174549262627146
"177","O","E1","P17","S",25774,"R","R",26,"M",10,NA,"College",1,55,42,22,0.61,0.47,0.24,NA,13,-0.00133565544918435,-0.000877971698451913
"178","O","E1","P18","LS",27378,"R","R",26,"F",3,11,NA,0,45,43,22,0.5,0.48,0.24,NA,13,0.0107303182720199,-0.0721818796667335
"179","O","E1","P19","LS",28914,"R","R",31,"M",2,10,NA,0,50,44,25,0.56,0.49,0.28,NA,13,0.120498503298628,0.119633196605582
"180","O","E1","P20","S",30382,"R","R",33,"M",28,NA,"College",1.5,51,41,23,0.57,0.46,0.26,NA,13,-0.0963520472497934,-0.0139780776339783
"181","O","E1","P21","LS",31986,"R","R",29,"M",1.5,11,NA,0,52,43,30,0.58,0.48,0.33,NA,13,-0.230278438363196,-0.233324281332443
"182","O","E1","P22","LS",33522,"R","R",24,"M",0,NA,NA,0,50,42,24,0.56,0.47,0.27,NA,13,0.000554578760774971,0.067654745453372
"183","O","E1","P23","LS",35058,"L","R",33,"M",3,9,NA,0,56,37,24,0.622222222,0.411111111,0.266666667,NA,13,0.154270678327571,0.140307330216689
"184","O","E1","P24","S",36526,"R","R",35,"M",30,NA,"Semi-Pro",3,28,18,13,0.651162791,0.418604651,0.302325581,NA,13,-0.099691477747854,-0.204079850175415
"185","O","E1","P25","LS",38130,"R","R",23,"F",2,NA,NA,0,45,48,22,0.5,0.533333333,0.244444444,NA,13,-0.0810600090667156,-0.0497482891695656
"186","O","E1","P26","LS",39666,"R","R",34,"F",0,NA,NA,0,51,38,18,0.566666667,0.422222222,0.2,NA,13,0.0755429341742421,0.0474230259642835
"187","O","E1","P27","LS",41202,"R","R",42,"M",0,NA,NA,0,39,39,22,0.433333333,0.433333333,0.244444444,NA,13,0.337954150120661,0.335694588276609
"188","O","E1","P28","LS",42738,"R","R",26,"F",0,NA,NA,0,41,38,21,0.465909091,0.431818182,0.238636364,NA,13,-0.106093475810758,-0.18586265066102
"189","O","E1","P29","S",44206,"L","L",25,"F",16,18,"College",0,49,42,23,0.544444444,0.466666667,0.255555556,NA,13,-0.0374093389174389,0.0838214440210695
"190","O","E1","P30","S",45742,"R","R",31,"M",27,NA,"Premier League",1,54,42,26,0.6,0.466666667,0.288888889,NA,13,-0.0812779027728173,-0.153754474653492
"191","O","E1","P31","S",47278,"R","R",29,"M",25,NA,"Premier League",4,50,52,32,0.555555556,0.577777778,0.355555556,NA,13,0.122268365387662,0.221627854625142
"192","O","E1","P32","LS",48882,"R","R",25,"M",3,12,NA,0,56,42,26,0.622222222,0.466666667,0.288888889,NA,13,0.0322106230668559,-0.0145033547944924
"193","O","E1","P33","LS",50418,"R","R",21,"F",0,NA,NA,0,40,38,21,0.444444444,0.422222222,0.233333333,NA,13,-0.0492704650957577,-0.0498600072946102
"194","O","E1","P34","LS",51954,"R","R",32,"M",1,NA,NA,0.09,47,41,21,0.522222222,0.455555556,0.233333333,NA,13,0.100865757317997,0.019380570008766
"195","O","E1","P35","S",53422,"R","L",20,"M",16,18,NA,1,47,48,23,0.522222222,0.533333333,0.255555556,NA,13,0.0856868973169831,-0.00701050141123555
"196","O","E1","P36","LS",55026,"R","L",26,"F",0,NA,NA,0,58,45,32,0.644444444,0.5,0.355555556,NA,13,-0.0810247155369574,-0.100245625210593
"197","O","E1","P37","S",56562,"R","L",25,"M",20,24,"College Club",1,56,45,27,0.622222222,0.5,0.3,NA,13,-0.134824893974655,-0.0534761379557183
"198","O","E1","P38","S",58098,"R","L",27,"F",22,NA,"Collegiate",4,50,49,28,0.555555556,0.544444444,0.311111111,NA,13,0.201164765919978,0.226606074836984
"199","O","E1","P39","S",59634,"R","R",26,"M",22,NA,"Professional Germany",4,55,50,32,0.611111111,0.555555556,0.355555556,NA,13,0.310075352217535,0.149345071798121
"200","O","E1","P40","S",61170,"R","R",27,"M",23,NA,"Club College",1.5,47,37,17,0.522222222,0.411111111,0.188888889,NA,13,0.201749314928318,0.161545060789155
"201","O","E2","P01","LS",1088,"R","R",34,"M",0,NA,NA,0,47,45,20,0.52,0.5,0.22,NA,13,-0.143897966549834,-0.051965756112053
"202","O","E2","P02","LS",2624,"R","R",26,"M",3,13,NA,0,48,42,21,0.53,0.47,0.23,NA,13,0.0169737077854489,-0.00446258418499818
"203","O","E2","P03","LS",4160,"R","R",24,"M",1,NA,NA,0,57,46,31,0.63,0.51,0.34,NA,13,0.0220264593537396,0.0396995115112987
"204","O","E2","P04","S",5724,"R","R",33,"M",29,NA,"College",3.5,50,37,24,0.56,0.41,0.27,NA,13,0.119219462711181,0.284575479201638
"205","O","E2","P05","S",7260,"R","R",52,"M",48,NA,"Semi-Pro",3,49,47,31,0.54,0.52,0.34,NA,13,0.218287737054259,0.218929643676927
"206","O","E2","P06","S",8796,"R","R",50,"M",42,NA,"Unknown",1,51,43,23,0.57,0.48,0.26,NA,13,-0.178045077621269,-0.0742913954974124
"207","O","E2","P07","LS",10522,"R","R",27,"M",0,NA,NA,0.04,54,45,28,0.6,0.5,0.31,NA,13,-0.107201059785245,-0.0908976832032321
"208","O","E2","P08","LS",12058,"R","R",26,"F",0,NA,NA,0,43,45,24,0.48,0.5,0.27,NA,13,0.0640167569812118,0.0380689141269738
"209","O","E2","P09","S",13404,"R","R",38,"M",30,NA,"College",2,63,44,31,0.7,0.49,0.34,NA,13,-0.0444804638302333,0.0357241086930392
"210","O","E2","P10","S",14940,"R","R",27,"F",21,22,"College",0,49,36,20,0.54,0.4,0.22,NA,13,0.0537282438981107,0.118624949350074
"211","O","E2","P11","S",16476,"R","R",28,"M",23,NA,"Club College",1.5,49,49,30,0.54,0.54,0.33,NA,13,0.144763494170122,0.172791776564181
"212","O","E2","P12","LS",18202,"R","R",26,"M",1,6,NA,0,53,41,23,0.59,0.46,0.26,NA,13,0.14233045183078,0.333964830039827
"213","O","E2","P13","S",19548,"R","L",22,"F",16,NA,"College",3,46,43,22,0.51,0.48,0.24,NA,13,0.0697104424716368,0.0548843213962975
"214","O","E2","P14","S",21084,"R","R",27,"F",10,26,"College",0,54,45,32,0.6,0.5,0.36,NA,13,-0.164100306513498,-0.171623878141072
"215","O","E2","P15","S",22620,"L","R",27,"F",21,NA,"High School",3,56,37,25,0.62,0.41,0.28,NA,13,-0.0359331588280409,0.0449590518070413
"216","O","E2","P16","S",24156,"R","R",18,"F",10,17,"High School",0,50,37,18,0.56,0.41,0.2,NA,13,-0.0171456411204916,-0.10789932407826
"217","O","E2","P17","S",25692,"R","R",26,"M",10,NA,"College",1,55,42,22,0.61,0.47,0.24,NA,13,0.0310711860323416,0.0145876615096622
"218","O","E2","P18","LS",27418,"R","R",26,"F",3,11,NA,0,45,43,22,0.5,0.48,0.24,NA,13,0.0568514567350747,-0.0361496093477374
"219","O","E2","P19","LS",28954,"R","R",31,"M",2,10,NA,0,50,44,25,0.56,0.49,0.28,NA,13,0.0886888683279789,0.236159547887998
"220","O","E2","P20","S",30300,"R","R",33,"M",28,NA,"College",1.5,51,41,23,0.57,0.46,0.26,NA,13,-0.0339185359004097,0.126164624405074
"221","O","E2","P21","LS",32026,"R","R",29,"M",1.5,11,NA,0,52,43,30,0.58,0.48,0.33,NA,13,-0.168937810587585,-0.0856600330594575
"222","O","E2","P22","LS",33562,"R","R",24,"M",0,NA,NA,0,50,42,24,0.56,0.47,0.27,NA,13,0.0836898776898537,0.211961941917524
"223","O","E2","P23","LS",35098,"L","R",33,"M",3,9,NA,0,56,37,24,0.622222222,0.411111111,0.266666667,NA,13,0.164369386411107,0.17704118515556
"224","O","E2","P24","S",36444,"R","R",35,"M",30,NA,"Semi-Pro",3,28,18,13,0.651162791,0.418604651,0.302325581,NA,13,-0.054483727696239,-0.110560307386433
"225","O","E2","P25","LS",38170,"R","R",23,"F",2,NA,NA,0,45,48,22,0.5,0.533333333,0.244444444,NA,13,-0.0339970272251524,-0.013723995415296
"226","O","E2","P26","LS",39706,"R","R",34,"F",0,NA,NA,0,51,38,18,0.566666667,0.422222222,0.2,NA,13,0.0685229436492763,0.135910678439135
"227","O","E2","P27","LS",41242,"R","R",42,"M",0,NA,NA,0,39,39,22,0.433333333,0.433333333,0.244444444,NA,13,0.500308885203096,0.496748550675841
"228","O","E2","P28","LS",42778,"R","R",26,"F",0,NA,NA,0,41,38,21,0.465909091,0.431818182,0.238636364,NA,13,-0.0736685560667661,-0.152839027797658
"229","O","E2","P29","S",44124,"L","L",25,"F",16,18,"College",0,49,42,23,0.544444444,0.466666667,0.255555556,NA,13,-0.0227007672487101,0.179757746364709
"230","O","E2","P30","S",45660,"R","R",31,"M",27,NA,"Premier League",1,54,42,26,0.6,0.466666667,0.288888889,NA,13,-0.044970705368419,-0.11264940704263
"231","O","E2","P31","S",47196,"R","R",29,"M",25,NA,"Premier League",4,50,52,32,0.555555556,0.577777778,0.355555556,NA,13,0.164454675928827,0.278266317045636
"232","O","E2","P32","LS",48922,"R","R",25,"M",3,12,NA,0,56,42,26,0.622222222,0.466666667,0.288888889,NA,13,0.0483656421357334,-0.00705855827923077
"233","O","E2","P33","LS",50458,"R","R",21,"F",0,NA,NA,0,40,38,21,0.444444444,0.422222222,0.233333333,NA,13,-0.0305589571105339,0.107264504595598
"234","O","E2","P34","LS",51994,"R","R",32,"M",1,NA,NA,0.09,47,41,21,0.522222222,0.455555556,0.233333333,NA,13,0.112892094194173,0.0438582138507791
"235","O","E2","P35","S",53340,"R","L",20,"M",16,18,NA,1,47,48,23,0.522222222,0.533333333,0.255555556,NA,13,0.0876646006308747,0.0365918805036894
"236","O","E2","P36","LS",55066,"R","L",26,"F",0,NA,NA,0,58,45,32,0.644444444,0.5,0.355555556,NA,13,-0.0860161936542549,-0.0397826170591982
"237","O","E2","P37","S",56602,"R","L",25,"M",20,24,"College Club",1,56,45,27,0.622222222,0.5,0.3,NA,13,-0.113639743112717,0.00566011997879939
"238","O","E2","P38","S",58138,"R","L",27,"F",22,NA,"Collegiate",4,50,49,28,0.555555556,0.544444444,0.311111111,NA,13,0.215642442670565,0.278079503813286
"239","O","E2","P39","S",59674,"R","R",26,"M",22,NA,"Professional Germany",4,55,50,32,0.611111111,0.555555556,0.355555556,NA,13,0.358859195752099,0.28249973528568
"240","O","E2","P40","S",61210,"R","R",27,"M",23,NA,"Club College",1.5,47,37,17,0.522222222,0.411111111,0.188888889,NA,13,0.200400165292015,0.38561795789779
